name	type	retail_price	engine_size	hp	mpg_city	mpg_hwy	weight	wheel_base
Acura MDX	SUV	36945	3.5	265	17	23	4451	106
Audi A6 3.0 Avant Quattro	Wagon	40840	3	220	18	25	4035	109
Audi S4 Avant Quattro	Wagon	49090	4.2	340	15	21	3936	104
BMW 325xi Sport	Wagon	32845	2.5	184	19	26	3594	107
BMW X3 3.0i	SUV	37000	3	225	16	23	4023	110
BMW X5 4.4i	SUV	52195	4.4	325	16	22	4824	111
Buick Rainier	SUV	37895	4.2	275	15	21	4600	113
Buick Rendezvous CX	SUV	26545	3.4	185	19	26	4024	112
Cadillac Escalade EXT	Pickup	52975	6	345	13	17	5879	130
Cadillac Escaladet	SUV	52795	5.3	295	14	18	5367	116
Cadillac SRX V8	SUV	46995	4.6	320	16	21	4302	116
Chevrolet Astro	Minivan	26395	4.3	190	14	17	4605	111
Chevrolet Avalanche 1500	Pickup	36100	5.3	295	14	18	5678	130
Chevrolet Colorado Z85	Pickup	18760	2.8	175	18	23	3623	111
Chevrolet Malibu Maxx LS	Wagon	22225	3.5	200	22	30	3458	112
Chevrolet Silverado 1500 Regular Cab	Pickup	20310	4.3	200	15	21	4142	119
Chevrolet Silverado SS	Pickup	40340	6	300	13	17	4804	144
Chevrolet SSR	Pickup	41995	5.3	300	16	19	4760	116
Chevrolet Suburban 1500 LT	SUV	42735	5.3	295	14	18	4947	130
Chevrolet Tahoe LT	SUV	41465	5.3	295	14	18	5050	116
Chevrolet Tracker	SUV	20255	2.5	165	19	22	2866	98
Chevrolet TrailBlazer LT	SUV	30295	4.2	275	16	21	4425	113
Chevrolet Venture LS	Minivan	27020	3.4	185	19	26	3699	112
Chrysler Pacifica	Wagon	31230	3.5	250	17	23	4675	116
Chrysler Town and Country Limited	Minivan	38380	3.8	215	18	25	4331	119
Chrysler Town and Country LX	Minivan	27490	3.3	180	19	26	4068	119
CMC Yukon 1500 SLE	SUV	35725	4.8	285	16	19	5042	116
Dodge Caravan SE	Minivan	21795	2.4	150	20	26	3862	113
Dodge Dakota Club Cab	Pickup	20300	3.7	210	16	22	3829	131
Dodge Dakota Regular Cab	Pickup	17630	3.7	210	16	22	3714	112
Dodge Durango SLT	SUV	32235	4.7	230	15	21	4987	119
Dodge Grand Caravan SXT	Minivan	32660	3.8	215	18	25	4440	119
Dodge Ram 1500 Regular Cab ST	Pickup	20215	3.7	215	16	21	4542	121
Ford Escape XLS	SUV	22515	3	201	18	23	3346	103
Ford Expedition 4.6 XLT	SUV	34560	4.6	232	15	19	5000	119
Ford Explorer XLT V6	SUV	29670	4	210	15	20	4463	114
Ford F-150 Regular Cab XL	Pickup	22010	4.6	231	15	19	4788	126
Ford F-150 Supercab Lariat	Pickup	33540	5.4	300	14	18	5464	133
Ford Focus ZTW	Wagon	17475	2	130	26	33	2702	103
Ford Freestar SE	Minivan	26930	3.9	193	17	23	4275	121
Ford Ranger 2.3 XL Regular Cab	Pickup	14385	2.3	143	24	29	3028	111
Ford Taurus SE	Wagon	22290	3	155	19	26	3497	109
GMC Canyon Z85 SL Regular Cab	Pickup	16530	2.8	175	19	24	3351	111
GMC Envoy XUV SLE	SUV	31890	4.2	275	15	19	4945	129
GMC Safari SLE	Minivan	25640	4.3	190	16	20	4309	111
GMC Sierra Extended Cab 1500	Pickup	25717	4.8	285	17	20	4548	144
GMC Sonoma Crew Cab	Pickup	25395	4.3	190	15	19	4083	123
GMC Yukon XL 2500 SLT	SUV	46265	6	325	13	17	6133	130
Honda CR-V LX	SUV	19860	2.4	160	21	25	3258	103
Honda Element LX	SUV	18690	2.4	160	21	24	3468	101
Honda Odyssey EX	Minivan	27450	3.5	240	18	25	4365	118
Honda Odyssey LX	Minivan	24950	3.5	240	18	25	4310	118
Honda Pilot LX	SUV	27560	3.5	240	17	22	4387	106
Hummer H2	SUV	49995	6	316	10	12	6400	123
Hyundai Santa Fe GLS	SUV	21589	2.7	173	20	26	3549	103
Infiniti FX35	Wagon	34895	3.5	280	16	22	4056	112
Infiniti FX45	Wagon	36395	4.5	315	15	19	4309	112
Isuzu Ascender S	SUV	31849	4.2	275	15	20	4967	129
Isuzu Rodeo S	SUV	20449	3.2	193	17	21	3836	106
Jeep Grand Cherokee Laredo	SUV	27905	4	195	16	21	3790	106
Jeep Liberty Sport	SUV	20130	2.4	150	20	24	3826	104
Jeep Wrangler Sahara convertible 2dr	SUV	25520	4	190	16	19	3575	93
Kia Rio Cinco	Wagon	11905	1.6	104	26	33	2447	95
Kia Sedona LX	Minivan	20615	3.5	195	16	22	4802	115
Kia Sorento LX	SUV	19635	3.5	192	16	19	4112	107
Land Rover Discovery SE	SUV	39250	4.6	217	12	16	4576	100
Land Rover Freelander SE	SUV	25995	2.5	174	18	21	3577	101
Land Rover Range Rover HSE	SUV	72250	4.4	282	12	16	5379	113
Lexus GX 470	SUV	45700	4.7	235	15	19	4740	110
Lexus IS 300 SportCross	Wagon	32455	3	215	18	24	3410	105
Lexus LX 470	SUV	64800	4.7	235	13	17	5590	112
Lexus RX 330	SUV	39195	3.3	230	18	24	4065	107
Lincoln Aviator Ultimate	SUV	42915	4.6	302	13	18	4834	114
Lincoln Navigator Luxury	SUV	52775	5.4	300	13	18	5969	119
Mazda B2300 SX Regular Cab	Pickup	14840	2.3	143	24	29	2960	112
Mazda B4000 SE Cab Plus	Pickup	22350	4	207	15	19	3571	126
Mazda MPV ES	Minivan	28750	3	200	18	25	3812	112
Mazda Tribute DX 2.0	SUV	21087	2	130	22	25	3091	103
Mercedes-Benz C240	Wagon	33780	2.6	168	19	25	3470	107
Mercedes-Benz E320	Wagon	50670	3.2	221	19	27	3966	112
Mercedes-Benz E500	Wagon	60670	5	302	16	24	4230	112
Mercedes-Benz G500	SUV	76870	5	292	13	14	5423	112
Mercedes-Benz ML500	SUV	46470	5	288	14	17	4874	111
Mercury Monterey Luxury	Minivan	33995	4.2	201	16	23	4340	121
Mercury Mountaineer	SUV	29995	4	210	16	21	4374	114
Mercury Sable GS	Wagon	22595	3	155	19	26	3488	109
Mitsubishi Endeavor XLS	SUV	30492	3.8	215	17	21	4134	109
Mitsubishi Montero XLS	SUV	33112	3.8	215	15	19	4718	110
Mitsubishi Outlander LS	SUV	18892	2.4	160	21	27	3240	103
Nissan Frontier King Cab XE V6	Pickup	19479	3.3	180	17	20	3932	116
Nissan Murano SL	Wagon	28739	3.5	245	20	25	3801	111
Nissan Pathfinder Armada SE	SUV	33840	5.6	305	13	19	5013	123
Nissan Pathfinder SE	SUV	27339	3.5	240	16	21	3871	106
Nissan Quest S	Minivan	24780	3.5	240	19	26	4012	124
Nissan Quest SE	Minivan	32780	3.5	240	18	25	4175	124
