city,state,population,lat,lon
"New York","New York","8550405",40.6643,-73.9385
"Los Angeles","California","3971883",34.0194,-118.4108
"Chicago","Illinois","2720546",41.8376,-87.6818
"Houston","Texas","2296224",29.7805,-95.3863
"Philadelphia","Pennsylvania","1567442",40.0094,-75.1333
"Phoenix","Arizona","1563025",33.5722,-112.088
"San Antonio","Texas","1469845",29.4724,-98.5251
"San Diego","California","1394928",32.8153,-117.135
"Dallas","Texas","1300092",32.7757,-96.7967
"San Jose","California","1026908",37.2969,-121.8193
